kod;leiras;nev;n
T1;Technikus szintű szakma;Automatikai technikus ;1
T2;Technikus szintű szakma;Ipari informatikai technikus;1
T3;Technikus szintű szakma;Gépgyártás-technológiai technikus;1
T4;Technikus szintű szakma;Mechatronikai technikus;1
T5;Technikus szintű szakma;Szoftverfejlesztő és - tesztelő;1
T6; Szakképző iskolai szinten képzett szakma ; Asztalos ;1
T7; Szakképző iskolai szinten képzett szakma ;Divatszabó - női szabó;1
T8; Szakképző iskolai szinten képzett szakma ;Finommechanikai műszerész;1
T9; Szakképző iskolai szinten képzett szakma ;Gépi és CNC forgácsoló;1
T10; Szakképző iskolai szinten képzett szakma ;Hegesztő;1
T11; Szakképző iskolai szinten képzett szakma ;Mechatronikus karbantartó;1
T12; Szakképző iskolai szinten képzett szakma ;Szerszám- és készülékgyártó;1
T13; Szakképző iskolai szinten képzett szakma ;Villanyszerelő;1
